graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
#Sat Mar  1 17:33:25 2025
2, 23, 1, EdgeDisjointPaths, 44, 4, 4, 0, 8, 0.550000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 45, 4, 2, 0, 6, 0.200000, 23, 0.000000, 0.011591
2, 23, 1, EdgeDisjointPaths, 45, 4, 6, 0, 10, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 46, 4, 12, 0, 13, 0.750000, 23, 0.000805, 0.015694
2, 23, 1, EdgeDisjointPaths, 46, 4, 4, 0, 10, 0.950000, 23, 0.000790, 0.000000
2, 23, 1, Outerplanar, 47, 4, 23, 0, 24, 0.750000, 23, 0.000783, 0.015817
2, 23, 1, EdgeDisjointPaths, 47, 4, 6, 0, 13, 0.950000, 23, 0.000784, 0.000000
2, 23, 1, Outerplanar, 48, 4, 11, 0, 13, 0.750000, 23, 0.000794, 0.016106
2, 23, 1, EdgeDisjointPaths, 48, 4, 3, 0, 8, 0.900000, 23, 0.000801, 0.000000
2, 23, 1, Outerplanar, 49, 4, 21, 0, 24, 0.750000, 23, 0.000782, 0.015744
2, 23, 1, EdgeDisjointPaths, 49, 4, 1, 0, 6, 0.900000, 23, 0.000792, 0.000000
2, 23, 1, Outerplanar, 50, 4, 23, 0, 25, 0.750000, 23, 0.000782, 0.015659
2, 23, 1, EdgeDisjointPaths, 50, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 51, 4, 23, 0, 25, 0.750000, 23, 0.000817, 0.031429
2, 23, 1, EdgeDisjointPaths, 51, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 52, 4, 25, 0, 26, 0.750000, 23, 0.000801, 0.016249
2, 23, 1, EdgeDisjointPaths, 52, 4, 6, 0, 13, 0.950000, 23, 0.000798, 0.000000
2, 23, 1, Outerplanar, 53, 4, 25, 0, 26, 0.750000, 23, 0.001174, 0.016098
2, 23, 1, EdgeDisjointPaths, 53, 4, 6, 0, 12, 0.950000, 23, 0.000419, 0.000000
2, 23, 1, Outerplanar, 54, 4, 21, 0, 22, 0.750000, 23, 0.000796, 0.015929
2, 23, 1, EdgeDisjointPaths, 54, 4, 8, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 55, 4, 21, 0, 23, 0.750000, 23, 0.000806, 0.016226
2, 23, 1, EdgeDisjointPaths, 55, 4, 4, 0, 8, 0.550000, 23, 0.000791, 0.000000
2, 23, 1, Outerplanar, 56, 4, 16, 0, 17, 0.750000, 23, 0.000800, 0.015841
2, 23, 1, EdgeDisjointPaths, 56, 4, 0, 0, 4, 0.900000, 23, 0.000787, 0.000000
2, 23, 1, Outerplanar, 57, 4, 18, 0, 21, 0.750000, 23, 0.000814, 0.031778
2, 23, 1, EdgeDisjointPaths, 57, 4, 4, 0, 9, 0.950000, 23, 0.000000, 0.000000
